method_name,method_type,images_attempted,images_successful,success_rate,total_codes_found,codes_per_attempt,processing_overhead,effectiveness_score
standard_detection,detection_strategy,209,209,100.0,1498,7.167464114832536,0.005,143.34928229665073
rotation_detection,rotation,5,5,100.0,17,3.4,0.1,3.4
original,basic,1,0,0.0,0,0.0,0.001,0.0
grayscale,basic,1,0,0.0,0,0.0,0.005,0.0
blur,basic,1,0,0.0,0,0.0,0.01,0.0
sharpen,enhancement,1,0,0.0,0,0.0,0.015,0.0
adaptive_threshold,thresholding,1,0,0.0,0,0.0,0.02,0.0
edge_enhance,morphological,1,0,0.0,0,0.0,0.025,0.0
morphology,morphological,1,0,0.0,0,0.0,0.03,0.0
contrast_enhance,enhancement,1,0,0.0,0,0.0,0.02,0.0
perspective_correction,advanced,1,0,0.0,0,0.0,0.05,0.0
barcode_enhancement,advanced,1,0,0.0,0,0.0,0.035,0.0
noise_reduction,noise_reduction,1,0,0.0,0,0.0,0.025,0.0
gamma_correction,enhancement,1,1,100.0,2,2.0,0.015,13.333333333333334
